Date : 2025-05-14 11:16:25
Directory : /Users/neilluo/workspaces/storage/godis
Total : 145 files,  21127 codes, 1456 comments, 2613 blanks, all 25196 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Go               |        131 |     20,467 |      1,451 |      2,505 |     24,423 |
| Markdown         |          3 |        375 |          0 |         77 |        452 |
| Go Checksum File |          1 |        184 |          0 |          1 |        185 |
| Properties       |          4 |         35 |          0 |         10 |         45 |
| YAML             |          2 |         31 |          2 |         11 |         44 |
| Go Module File   |          1 |         28 |          0 |          4 |         32 |
| Shell Script     |          3 |          7 |          3 |          5 |         15 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                 |        145 |     21,127 |      1,456 |      2,613 |     25,196 |
